category,question_id,origin_file,subject,topic,question_type,correct_answer,snippet
numerical_answer_not_parseable_as_number,em::4.5.15,questions_clean.json,Mathematics,Probability,numerical,0.035 to 0.04,The chance of rainfall in the afternoon is twice that in the morning and there is no chance of rain ...
numerical_answer_not_parseable_as_number,em::4.12.29,questions_clean.json,Mathematics,Probability,numerical,0.14 to 0.15,"In a group of 11 people, what is the probability that exactly two people have birthday on the same d..."
numerical_answer_not_parseable_as_number,em::5.40.10,questions_clean.json,General Aptitude,Quantitative Aptitude,numerical,3√11,"From a circular sheet of paper of radius 30 cm, a sector of 10% area is removed. If the remaining pa..."
numerical_answer_not_parseable_as_number,em::5.105.13,questions_clean.json,General Aptitude,Numerical Ability,numerical,C,It would take one machine 4 hours to complete a production order and another machine 2 hours to comp...
numerical_answer_not_parseable_as_number,em::5.105.14,questions_clean.json,General Aptitude,Numerical Ability,numerical,B,"Two design consultants, P and Q, started working from 8 AM for a client. The client budgeted a total..."
numerical_answer_not_parseable_as_number,isro_w_cover::3.6.2,questions_clean.json,Computer Organization and Architecture,CO and Architecture,numerical,D,The number of logical CPUs in a computer having two physical quad-core chips with hyper threading en...
numerical_answer_not_parseable_as_number,isro_w_cover::29.2.6,questions_clean.json,Computer Science,Software Engineering,numerical,C,What is the cyclomatic complexity of a module which has seventeen edges and thirteen nodes?
numerical_answer_not_parseable_as_number,isro_w_cover::29.3.12,questions_clean.json,Computer Science,Software Engineering,numerical,A,A company needs to develop a digital signal processing software for one of its newest inventions. Th...
numerical_answer_not_parseable_as_number,isro_w_cover::29.3.20,questions_clean.json,Computer Science,Software Engineering,numerical,B,What is the availability of the software with the following reliability figures: Mean Time Between F...
numerical_answer_not_parseable_as_number,isro_w_cover::29.3.22,questions_clean.json,Computer Science,Software Engineering,numerical,B,"In a class definition with 10 methods, to make the class maximally cohesive, number of direct and in..."
numerical_answer_not_parseable_as_number,isro_w_cover::29.8.1,questions_clean.json,Computer Science,Software Engineering,numerical,B,"If in a software project the number of user inputs, user outputs, enquiries, files and external inte..."
numerical_answer_not_parseable_as_number,isro_w_cover::29.10.10,questions_clean.json,Computer Science,Software Engineering,numerical,C,"If a program P calls two subprograms P1 and P2, and P1 can fail 50% of the time and P2 can fail 40% ..."
numerical_answer_not_parseable_as_number,isro_w_cover::31.1.1,questions_clean.json,Computer Science,Multimedia,numerical,C,Consider an uncompressed stereo audio signal of CD quality which is sampled at 44.1 kHz and quantize...
numerical_answer_not_parseable_as_number,isro_w_cover::32.2.1,questions_clean.json,Mathematics,Numerical Methods,numerical,D,Given X: 0  10  16 Y: 6  16  28 The interpolated value at X=4 using piecewise linear interpolation i...
numerical_answer_not_parseable_as_number,isro_w_cover::32.3.1,questions_clean.json,Mathematics,Numerical Methods,numerical,C,"Using Newton-Raphson method, a root correct to 3 decimal places of x³ − 3x − 5 = 0 is"
numerical_answer_not_parseable_as_number,isro_w_cover::32.4.1,questions_clean.json,Mathematics,Numerical Methods,numerical,A,"Consider the polynomial p(x) = a₀ + a₁x + a₂x² + a₃x³, where aᵢ ≠ 0, ∀i. The minimum number of multi..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.0.8,questions_clean.json,Operating System,Operating System,numerical,A,"Given reference to the following pages by a program: 0,9,0,1,8,1,8,7,8,7,1,2,8,2,7,8,2,3,8,3 How man..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.0.9,questions_clean.json,Operating System,Operating System,numerical,B,"Determine the number of page faults when references to pages occur in the order: 1,2,4,5,2,1,2,4. As..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.2.1,questions_clean.json,Operating System,Operating System,numerical,D,A particular parallel program computation requires 100 seconds when executed on a single CPU. If 20%...
numerical_answer_not_parseable_as_number,isro_w_cover::36.5.2,questions_clean.json,Operating System,Deadlock,numerical,A,"Consider a system having m resources of the same type. These resources are shared by 3 processes A, ..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.6.3,questions_clean.json,Operating System,Disk Storage,numerical,A,"Consider a disk pack with 16 surfaces, 128 tracks per surface and 256 sectors per track. 512 bytes o..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.6.4,questions_clean.json,Operating System,Disk Storage,numerical,D,A hard disk system has the following parameters: - Number of tracks = 500 - Number of sectors/track ...
numerical_answer_not_parseable_as_number,isro_w_cover::36.6.8,questions_clean.json,Operating System,Disk Storage,numerical,A,"Consider a disk pack with 16 surfaces, 128 tracks per surface and 256 sectors per track. 512 bytes o..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.6.10,questions_clean.json,Operating System,Disk Scheduling,numerical,D,"Disk requests come to a disk driver for cylinders in the order 10, 22, 20, 2, 40, 6 and 38 at a time..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.6.11,questions_clean.json,Operating System,Disk Storage,numerical,D,"A particular disk unit uses a bit string to record the occupancy or vacancy of its tracks, with 0 de..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.7.3,questions_clean.json,Operating System,Disk Scheduling,numerical,B,Consider a disk sequence with 100 cylinders. The requests to access the cylinder occur in the follow...
numerical_answer_not_parseable_as_number,isro_w_cover::36.8.1,questions_clean.json,Operating System,Page Replacement,numerical,A,A system uses FIFO policy for page replacement. It has 4 page frames with no pages loaded to begin w...
numerical_answer_not_parseable_as_number,isro_w_cover::36.10.4,questions_clean.json,Operating System,Process Management,numerical,C,Consider the following program: main() {   fork();   fork();   fork(); } How many new processes will...
numerical_answer_not_parseable_as_number,isro_w_cover::36.13.2,questions_clean.json,Operating System,I/O Handling,numerical,B,"What is the bit rate of a video terminal unit with 80 characters/line, 8 bits/character and horizont..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.15.5,questions_clean.json,Operating System,Memory Management,numerical,A,"In a 64-bit machine, with 2 GB RAM, and 8 KB page size, how many entries will be there in the page t..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.15.6,questions_clean.json,Operating System,Memory Management,numerical,C,"Consider a logical address space of 8 pages of 1024 words each, mapped onto a physical memory of 32 ..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.18.8,questions_clean.json,Operating System,Page Replacement,numerical,C,"Determine the number of page faults when references to pages occur in the following order: 1, 2, 4, ..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.18.10,questions_clean.json,Operating System,Page Replacement,numerical,B,"Determine the number of page faults when references to pages occur in the order: 1, 2, 4, 5, 2, 1, 2..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.18.11,questions_clean.json,Operating System,Page Replacement,numerical,C,Consider the following page reference string: 1 2 3 4 2 1 5 6 2 1 2 3 7 6 3 2 1 2 3 6 What are the m...
numerical_answer_not_parseable_as_number,isro_w_cover::36.18.12,questions_clean.json,Operating System,Page Replacement,numerical,D,Consider the list of page references in the time line as below: 9 6 2 3 4 4 4 4 3 4 4 2 5 8 6 8 5 5 ...
numerical_answer_not_parseable_as_number,isro_w_cover::36.21.1,questions_clean.json,Operating System,Process Scheduling,numerical,A,"Four jobs to be executed on a single processor system arrive at time 0 in the order A, B, C, D. Thei..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.21.2,questions_clean.json,Operating System,Process Scheduling,numerical,B,"Consider three CPU-intensive processes which require 10, 20 and 30 time units and arrive at times 0,..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.21.12,questions_clean.json,Operating System,Process Scheduling,numerical,B,The following table shows the processes in the ready queue and time required for each process for co...
numerical_answer_not_parseable_as_number,isro_w_cover::36.21.23,questions_clean.json,Operating System,Process Scheduling,numerical,D,"Suppose two jobs, each of which needs 10 minutes of CPU time, start simultaneously. Assume 50% I/O w..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.25.1,questions_clean.json,Operating System,Resource Allocation,numerical,A,"Consider a system having 'm' resources of the same type. The resources are shared by 3 processes A, ..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.25.3,questions_clean.json,Operating System,Resource Allocation,numerical,D,"Consider a system having 'n' resources of same type. These resources are shared by 3 processes A, B,..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.25.5,questions_clean.json,Operating System,Resource Allocation,numerical,D,"What is the minimum number of resources required to ensure that deadlock will never occur, if there ..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.28.1,questions_clean.json,Operating System,Process Synchronization,numerical,B,"At a particular time of computation, the value of a counting semaphore is 7. Then 20 P (wait) operat..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.28.3,questions_clean.json,Operating System,Process Synchronization,numerical,A,"At a particular time of computation, the value of a counting semaphore is 7. Then 20 P operations an..."
numerical_answer_not_parseable_as_number,isro_w_cover::36.28.5,questions_clean.json,Operating System,Process Synchronization,numerical,C,A counting semaphore was initialized to 7. Then 20 P (wait) operations and x V (signal) operations w...
numerical_answer_not_parseable_as_number,isro_w_cover::36.32.1,questions_clean.json,Operating System,Memory Management,numerical,C,A CPU generates 32-bit virtual addresses. The page size is 4 KB. The processor has a translation loo...
numerical_answer_not_parseable_as_number,isro_w_cover::36.32.6,questions_clean.json,Operating System,Page Replacement,numerical,C,A computer has 16 pages of virtual address space but the size of main memory is only four frames. In...
numerical_answer_not_parseable_as_number,isro_w_cover::36.32.8,questions_clean.json,Operating System,Memory Management,numerical,C,What is the size of the physical address space in a paging system which has a page table containing ...
numerical_answer_not_parseable_as_number,isro_w_cover::36.32.9,questions_clean.json,Operating System,Memory Management,numerical,B,Let the page fault service time be 10 ms in a computer with average memory access time being 20 ns. ...
numerical_answer_not_parseable_as_number,isro_w_cover::38.1.1,questions_clean.json,Programming and Data Structure,Data Structures,numerical,B,What is the maximum height of any AVL-tree with 7 nodes? Assume that the height of a tree with a sin...
numerical_answer_not_parseable_as_number,isro_w_cover::38.1.3,questions_clean.json,Programming and Data Structure,Data Structures,numerical,D,"The number of rotations required to insert the sequence of elements 9, 6, 5, 8, 7, 10 into an empty ..."
numerical_answer_not_parseable_as_number,isro_w_cover::38.2.1,questions_clean.json,Programming and Data Structure,Data Structures,numerical,B,"Let A(1:8, -5:5, -10:5) be a three-dimensional array. How many elements are there in the array A?"
numerical_answer_not_parseable_as_number,isro_w_cover::38.2.2,questions_clean.json,Programming and Data Structure,Data Structures,numerical,A,"In an array of 2N elements that is both 2-ordered and 3-ordered, what is the maximum number of posit..."
numerical_answer_not_parseable_as_number,isro_w_cover::38.4.3,questions_clean.json,Programming and Data Structure,Data Structures,numerical,B,"The following numbers are inserted into an empty binary search tree in the given order: 10, 1, 3, 5,..."
numerical_answer_not_parseable_as_number,isro_w_cover::38.4.4,questions_clean.json,Programming and Data Structure,Data Structures,numerical,B,How many distinct binary search trees can be created out of 4 distinct keys?
numerical_answer_not_parseable_as_number,volume1::4.1.1,questions_clean.json,Discrete Mathematics,Set Theory & Algebra,numerical,N/A (descriptive — answer: n^(n(n+1)/2)),The number of possible commutative binary operations that can be defined on a set of n elements (for...
numerical_answer_not_parseable_as_number,volume1::4.13.1,questions_clean.json,Discrete Mathematics,Set Theory & Algebra,numerical,"N/A (descriptive — answer: using inclusion-exclusion, those eating at least two = 7)","Out of a group of 21 persons, 9 eat vegetables, 10 eat fish and 7 eat eggs. 5 persons eat all three...."
numerical_answer_not_parseable_as_number,volume1::4.13.4,questions_clean.json,Discrete Mathematics,Set Theory & Algebra,numerical,2^(n−1),"The number of subsets of {1, 2, …, n} with odd cardinality is ___________"
numerical_answer_not_parseable_as_number,volume2::2.17.20,questions_clean.json,Computer Organization and Architecture,Pipelining,numerical,1.50:1.60,"An instruction pipeline has five stages, namely, instruction fetch (IF), instruction decode and regi..."
numerical_answer_not_parseable_as_number,volume2::2.17.25,questions_clean.json,Computer Organization and Architecture,Pipelining,numerical,33.0:34.0,"The stage delays in a 4-stage pipeline are 800, 500, 400 and 300 picoseconds. The first stage (with ..."
numerical_answer_not_parseable_as_number,volume2::2.17.27,questions_clean.json,Computer Organization and Architecture,Pipelining,numerical,1.50:1.51,"Instruction execution in a processor is divided into 5 stages, Instruction Fetch (IF), Instruction D..."
numerical_answer_not_parseable_as_number,volume2::2.17.29,questions_clean.json,Computer Organization and Architecture,Pipelining,numerical,2.15:2.18,Consider a non-pipelined processor operating at 2.5 GHz. It takes 5 clock cycles to complete an inst...
numerical_answer_not_parseable_as_number,volume2::2.17.3,questions_clean.json,Computer Organization and Architecture,Pipelining,numerical,N/A,An instruction pipeline has five stages where each stage take 2 nanoseconds and all instruction use ...
numerical_answer_not_parseable_as_number,volume2::2.17.30,questions_clean.json,Computer Organization and Architecture,Pipelining,numerical,17160:17160,"A five-stage pipeline has stage delays of 150, 120, 150, 160 and 140 nanoseconds. The registers that..."
numerical_answer_not_parseable_as_number,volume2::2.17.31,questions_clean.json,Computer Organization and Architecture,Pipelining,numerical,1.87:1.88,"Consider a pipelined processor with 5 stages: Instruction Fetch (IF), Instruction Decode (ID), Execu..."
numerical_answer_not_parseable_as_number,volume2::2.17.32,questions_clean.json,Computer Organization and Architecture,Pipelining,numerical,1.42:1.45,A processor X1 operating at 2 GHz has a standard 5-stage RISC instruction pipeline having a base CPI...
numerical_answer_not_parseable_as_number,volume2::2.17.37,questions_clean.json,Computer Organization and Architecture,Pipelining,numerical,260.20:261.20,"A 5-stage instruction pipeline has stage delays of 180, 250, 150, 170, and 250 nanoseconds, respecti..."
numerical_answer_not_parseable_as_number,volume2::3.8.9,questions_clean.json,Compiler Design,Grammar,numerical,2n − 1,"A grammar G is in Chomsky-Normal Form (CNF) if all its productions are of the form A → BC or A → a, ..."
numerical_answer_not_parseable_as_number,volume2::4.11.2,questions_clean.json,Computer Networks,Computer Networks,numerical,N/A,Following 7-bit single error correcting Hamming coded message is received:  Bit positions: 7  6  5  ...
numerical_answer_not_parseable_as_number,volume2::4.31.2,questions_clean.json,Computer Networks,Computer Networks,numerical,1.10 to 1.19,"For a host machine that uses the token bucket algorithm for congestion control, the token bucket has..."
numerical_answer_not_parseable_as_number,volume2::5.1.10,questions_clean.json,Databases,Databases,numerical,N/A,a. The following table refers to search times for a key in B-trees and B+-trees:  |              | B...
numerical_answer_not_parseable_as_number,volume2::5.1.4,questions_clean.json,Databases,Databases,numerical,N/A,A B+ tree of order d is a tree in which each internal node has between d and 2d key values. An inter...
numerical_answer_not_parseable_as_number,volume2::5.1.6,questions_clean.json,Databases,Databases,numerical,N/A,"Consider a B-tree with degree m, that is, the number of children c of any internal node (except the ..."
numerical_answer_not_parseable_as_number,volume2::5.1.8,questions_clean.json,Databases,Databases,numerical,N/A,(a) Suppose you are given an empty B+ tree where each node (leaf and internal) can store up to 5 key...
numerical_answer_not_parseable_as_number,volume2::5.1.9,questions_clean.json,Databases,Databases,numerical,N/A,We wish to construct a B+ tree with fan-out (the number of pointers per node) equal to 3 for the fol...
numerical_answer_not_parseable_as_number,volume2::6.11.11,questions_clean.json,Digital Logic,Digital Counter,numerical,3 to 4,We want to design a synchronous counter that counts the sequence 0-1-0-2-0-3 and then repeats. The m...
numerical_answer_not_parseable_as_number,volume2::8.13.18,questions_clean.json,Programming and Data Structure,Stack,numerical,B,Consider the following C program:  #include <stdio.h> #define EOF -1 void push (int); /* push the ar...
numerical_answer_not_parseable_as_number,isro_w_cover::29.5.1,questions_with_image.json,Computer Science,Software Engineering,numerical,B,A company needs to develop a strategy for software product development for which it has a choice of ...
numerical_answer_not_parseable_as_number,isro_w_cover::36.21.11,questions_with_image.json,Operating System,Process Scheduling,numerical,C,"Consider a set of 5 processes whose arrival time, CPU time needed and the priority are given below: ..."
visual_type_without_image_info,isro_w_cover::1.3.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"Consider the recurrence equation: T(n) = 2T(n−1), if n > 0 T(n) = 1, otherwise Then T(n) is (in big ..."
visual_type_without_image_info,isro_w_cover::1.3.2,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"Consider the program: void function(int n) {     int i, j, count = 0;     for(i = n/2; i <= n; i++) ..."
visual_type_without_image_info,isro_w_cover::1.4.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,The time taken by binary search algorithm to search a key in a sorted array of n elements is
visual_type_without_image_info,isro_w_cover::1.8.1,questions_clean.json,Computer Organization and Architecture,Algorithms,image_based,,The minimum number of arithmetic operations required to evaluate the expression f(z) = 8x³ + 3z + 12
visual_type_without_image_info,isro_w_cover::1.10.2,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"In linear hashing, if blocking factor bfr, loading factor i and file buckets N are known, the number..."
visual_type_without_image_info,isro_w_cover::1.10.3,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,The characters of the string K R P C S N Y T J M are inserted into a hash table of size 10 using a h...
visual_type_without_image_info,isro_w_cover::1.11.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"Huffman tree is constructed for the following data: {A, B, C, D, E} with frequency {0.17, 0.11, 0.24..."
visual_type_without_image_info,isro_w_cover::1.12.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,Study the following program: //precondition: x>=0 public void demo(int x) {     System.out.print(x %...
visual_type_without_image_info,isro_w_cover::1.12.2,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,What is the value of F(4) using the following procedure: function F(K : integer) integer; begin     ...
visual_type_without_image_info,isro_w_cover::1.12.3,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,Consider the following pseudocode:     x := 1;     i := 1;     while ( x <= 500)     begin         x...
visual_type_without_image_info,isro_w_cover::1.12.4,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"An array A consists of n integers in locations A[0], A[1], ..., A[n−1]. It is required to shift the ..."
visual_type_without_image_info,isro_w_cover::1.16.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"Consider product of three matrices M₁, M₂ and M₃ having w rows and x columns, x rows and y columns, ..."
visual_type_without_image_info,isro_w_cover::1.17.2,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,The average case and worst case complexities for Merge sort algorithm are
visual_type_without_image_info,isro_w_cover::1.17.3,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,Given two sorted list of size m and n respectively. The number of comparisons needed in the worst ca...
visual_type_without_image_info,isro_w_cover::1.18.2,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,The number of spanning trees for a complete graph with seven vertices is
visual_type_without_image_info,isro_w_cover::1.20.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"Quick-sort is run on 2 inputs shown below to sort in ascending order: A. 1, 2, 3, ..., n B. n, n−1, ..."
visual_type_without_image_info,isro_w_cover::1.21.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,The recurrence relation that arises in relation with the complexity of binary search is:
visual_type_without_image_info,isro_w_cover::1.21.3,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"Consider the following recurrence: T(n) = 2T(√n) + 1, T(1) = 1 Which one of the following is true?"
visual_type_without_image_info,isro_w_cover::1.21.4,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,Let T(n) be defined by T(1) = 10 and T(n+1) = 2n + T(n) for all integers n ≥ 1. Which of the followi...
visual_type_without_image_info,isro_w_cover::1.21.5,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"The running time of an algorithm is given by: T(n) = T(n−1) + T(n−2) − T(n−3), if n > 3 T(n) = n, ot..."
visual_type_without_image_info,isro_w_cover::1.22.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,Consider the function: int fun(x: integer) {     If x>100 then fun=x-10;     else         fun=fun(fu...
visual_type_without_image_info,isro_w_cover::1.23.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,The time complexity of computing the transitive closure of a binary relation on a set of n elements ...
visual_type_without_image_info,isro_w_cover::3.1.6,questions_clean.json,Computer Organization and Architecture,8085 Microprocessor,image_based,,The contents of the flag register after execution of the following program by 8085 microprocessor wi...
visual_type_without_image_info,isro_w_cover::3.3.1,questions_clean.json,Computer Organization and Architecture,Cache Memory,image_based,,A CPU has a 32 KB direct mapped cache with 128-byte block size. Suppose A is a 2-d array of size 512...
visual_type_without_image_info,isro_w_cover::3.19.7,questions_clean.json,Computer Organization and Architecture,Pipelining,image_based,,"A non-pipelined CPU has 12 general purpose registers (R0, R1, R2, ..., R12). Following operations ar..."
visual_type_without_image_info,isro_w_cover::3.19.8,questions_clean.json,Computer Organization and Architecture,Pipelining,image_based,,Consider a 5-segment pipeline with a clock cycle time of 20 ns in each sub operation. Find out the a...
visual_type_without_image_info,volume2::5.10.6,questions_clean.json,Databases,Databases,image_based,,"Consider the relations r1(P, Q, R) and r2(R, S, T) with primary keys P and R respectively. The relat..."
visual_type_without_image_info,volume2::5.11.1,questions_clean.json,Databases,Databases,image_based,,"Consider the following implications relating to functional and multivalued dependencies given below,..."
visual_type_without_image_info,volume2::5.12.1,questions_clean.json,Databases,Databases,image_based,,"Let r be a relation instance with schema R = (A, B, C, D). We define r1 = Π_{A,B,C}(R) and r2 = Π_{A..."
visual_type_without_image_info,volume2::5.12.2,questions_clean.json,Databases,Databases,image_based,,"The following functional dependencies hold for relations R(A, B, C) and S(B, D, E): B → A A → C  The..."
visual_type_without_image_info,volume2::5.15.12,questions_clean.json,Databases,Databases,image_based,,"Let r and s be two relations over the relation schemes R and S respectively, and let A be an attribu..."
visual_type_without_image_info,volume2::5.15.22,questions_clean.json,Databases,Databases,image_based,,"Consider the relations R(A, B) and S(B, C, D), where B is a primary key in S and a foreign key in R ..."
visual_type_without_image_info,volume2::5.15.27,questions_clean.json,Databases,Databases,image_based,,"The relation schema Person(pid, city) describes the city of residence for every person uniquely iden..."
visual_type_without_image_info,volume2::5.16.14,questions_clean.json,Databases,Databases,image_based,,"Consider a selection of the form σ_{A ≥ a ∧ A ≤ b}(R), where R is a relation with n tuples. Assume t..."
visual_type_without_image_info,volume2::5.16.4,questions_clean.json,Databases,Databases,image_based,,The relational algebra expression equivalent to the following tuple calculus expression:  {t | ∃u ∈ ...
visual_type_without_image_info,volume2::5.16.5,questions_clean.json,Databases,Databases,image_based,,Which of the following relational calculus expressions is NOT safe?
image_based_missing_image_reference,isro_w_cover::1.3.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"Consider the recurrence equation: T(n) = 2T(n−1), if n > 0 T(n) = 1, otherwise Then T(n) is (in big ..."
image_based_missing_image_reference,isro_w_cover::1.3.2,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"Consider the program: void function(int n) {     int i, j, count = 0;     for(i = n/2; i <= n; i++) ..."
image_based_missing_image_reference,isro_w_cover::1.4.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,The time taken by binary search algorithm to search a key in a sorted array of n elements is
image_based_missing_image_reference,isro_w_cover::1.8.1,questions_clean.json,Computer Organization and Architecture,Algorithms,image_based,,The minimum number of arithmetic operations required to evaluate the expression f(z) = 8x³ + 3z + 12
image_based_missing_image_reference,isro_w_cover::1.10.2,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"In linear hashing, if blocking factor bfr, loading factor i and file buckets N are known, the number..."
image_based_missing_image_reference,isro_w_cover::1.10.3,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,The characters of the string K R P C S N Y T J M are inserted into a hash table of size 10 using a h...
image_based_missing_image_reference,isro_w_cover::1.11.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"Huffman tree is constructed for the following data: {A, B, C, D, E} with frequency {0.17, 0.11, 0.24..."
image_based_missing_image_reference,isro_w_cover::1.12.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,Study the following program: //precondition: x>=0 public void demo(int x) {     System.out.print(x %...
image_based_missing_image_reference,isro_w_cover::1.12.2,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,What is the value of F(4) using the following procedure: function F(K : integer) integer; begin     ...
image_based_missing_image_reference,isro_w_cover::1.12.3,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,Consider the following pseudocode:     x := 1;     i := 1;     while ( x <= 500)     begin         x...
image_based_missing_image_reference,isro_w_cover::1.12.4,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"An array A consists of n integers in locations A[0], A[1], ..., A[n−1]. It is required to shift the ..."
image_based_missing_image_reference,isro_w_cover::1.16.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"Consider product of three matrices M₁, M₂ and M₃ having w rows and x columns, x rows and y columns, ..."
image_based_missing_image_reference,isro_w_cover::1.17.2,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,The average case and worst case complexities for Merge sort algorithm are
image_based_missing_image_reference,isro_w_cover::1.17.3,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,Given two sorted list of size m and n respectively. The number of comparisons needed in the worst ca...
image_based_missing_image_reference,isro_w_cover::1.18.2,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,The number of spanning trees for a complete graph with seven vertices is
image_based_missing_image_reference,isro_w_cover::1.20.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,"Quick-sort is run on 2 inputs shown below to sort in ascending order: A. 1, 2, 3, ..., n B. n, n−1, ..."
image_based_missing_image_reference,isro_w_cover::1.21.1,questions_clean.json,Programming and Data Structure,Algorithms,image_based,,The recurrence relation that arises in relation with the complexity of binary search is:
