prereq_concept_id,dependent_concept_id,note
theory-of-computation::regular-languages::regular-expressions,theory-of-computation::regular-expression::regular-expression-construction,Regular expressions provide the formal basis for construction problems.
theory-of-computation::context-free-languages::cfg,theory-of-computation::context-free-grammar::language-generated-by-grammar,CFG knowledge precedes language-derivation reasoning.
theory-of-computation::context-free-languages::pushdown-automata,theory-of-computation::pushdown-automata::pda-properties,PDA basics precede PDA property questions.
theory-of-computation::pushdown-automata::pda-properties,theory-of-computation::pushdown-automata::dpda-vs-npda,PDA properties precede deterministic-vs-nondeterministic PDA comparison.
theory-of-computation::decidability::decidable-problems,theory-of-computation::decidability::reduction,Decidability concepts precede reduction-based reasoning.
compiler-design::compilation-phases::compiler-phases-overview,compiler-design::compilation-phases::lexical-analysis,Compiler phase overview precedes detailed lexical analysis.
compiler-design::compilation-phases::lexical-analysis,compiler-design::parsing::top-down-parsing,Lexical analysis precedes parsing in the compiler pipeline.
compiler-design::grammar::cfg-properties,compiler-design::grammar::ll1-predictive-parsing,CFG properties support LL(1) grammar analysis.
compiler-design::parsing::top-down-parsing,compiler-design::parsing::ll1-transformation,Top-down parsing concepts precede LL(1) transformations.
compiler-design::parsing::bottom-up-parsing,compiler-design::lr-parser::slr-lalr-clr,Bottom-up parsing is foundational for LR-family parser analysis.
compiler-design::intermediate-code::intermediate-representations,compiler-design::basic-blocks::three-address-code,Intermediate representations precede basic-block and TAC reasoning.
compiler-design::basic-blocks::three-address-code,compiler-design::code-optimization::dag-representation,Three-address code supports DAG-based optimization representation.
artificial-intelligence::artificial-intelligence::agents,artificial-intelligence::agents::agent-architecture,Agent concepts precede architecture details.
artificial-intelligence::artificial-intelligence::problem-solving,artificial-intelligence::artificial-intelligence::search-algorithms,Problem-solving formulation precedes search algorithms.
artificial-intelligence::heuristic-search::a-algorithm,artificial-intelligence::a-algorithm::a-search,A* algorithm concepts precede detailed A* search questions.
artificial-intelligence::heuristic-search::admissible-heuristic,artificial-intelligence::a-algorithm::a-search,Admissible heuristics are central to A* search reasoning.
artificial-intelligence::artificial-intelligence::propositional-logic,artificial-intelligence::artificial-intelligence::logical-reasoning,Propositional logic supports logical-reasoning questions.
artificial-intelligence::artificial-intelligence::knowledge-representation,artificial-intelligence::artificial-intelligence::first-order-logic,Knowledge representation precedes first-order representation.
artificial-intelligence::machine-learning::introduction,artificial-intelligence::machine-learning::data-preprocessing,ML fundamentals precede preprocessing concepts.
discrete-mathematics::mathematical-logic::propositional-logic,discrete-mathematics::mathematical-logic::propositional-logic-tautology,Basic propositional logic precedes tautology analysis.
discrete-mathematics::mathematical-logic::propositional-logic,discrete-mathematics::mathematical-logic::normal-forms,Propositional logic precedes normal-form reasoning.
discrete-mathematics::graph-theory::graph-properties,discrete-mathematics::graph-theory::bipartite-graphs,Graph properties precede specialized graph classes.
digital-logic::combinational-circuits::logic-gates,digital-logic::combinational-circuits::multiplexers,Logic-gate fundamentals precede multiplexer reasoning.
digital-logic::number-representation::number-representation,digital-logic::number-representation::twos-complement-representation,Number representation precedes two’s-complement representation.
digital-logic::flip-flop::flip-flop,digital-logic::flip-flop::jk-vs-sr-flip-flop,Basic flip-flop concepts precede flip-flop comparisons.
computer-organization-and-architecture::pipelining::pipeline-stages,computer-organization-and-architecture::pipelining::pipeline-hazards,Pipeline stages precede hazard analysis.
computer-organization-and-architecture::pipelining::pipeline-stages,computer-organization-and-architecture::pipelining::pipeline-performance,Pipeline stages precede performance analysis.
computer-organization-and-architecture::pipelining::pipeline-performance,computer-organization-and-architecture::pipelining::pipeline-speedup,Pipeline performance precedes speedup analysis.
engineering-mathematics::probability::basic-probability,engineering-mathematics::probability::conditional-probability,Basic probability precedes conditional probability.
engineering-mathematics::probability::conditional-probability,engineering-mathematics::probability::conditional-probability-bayes,Conditional probability precedes Bayes theorem applications.
engineering-mathematics::probability::probability-distribution,engineering-mathematics::probability::probability-binomial,Distribution concepts precede binomial-distribution questions.
