Title,Company,Job Description,Skills,Location,Work Type
GenAI Engineer AI ML,Tata Consultancy Services,"Exp:4 to 8 years Experience with NLP, deep learning, or time series analysis. Experience deploying models to production environments. Knowledge of regulatory requirements and compliance in banking and finance. Familiarity with MLOps practices and tools. Experience with Agile methodology and tools (JIRA or Rally)","Deep Learning, NLP, MLOps, Jira, Agile",Bengaluru,Onsite
SAP CPQ / CPI / VCP Integration Developer or Architect (RESTfulAPI),DATAMTX LLC,"WHO WE ARE Datamtx (www.datamtx.com / formerly Datamatics) established in 1993 is globally HQ'd in Atlanta with a stellar history supporting both Tier 1 and 2 ERP projects including: S/4HANA, JDE, Oracle Cloud ERP, Peoplesoft, Deltek, Infor (M3 / S3 / Syteline / LN / Factory Track / MacPac XE / LX, CPQ), IFS, Deltek, Blackbaud, Ellucian Banner, D365, SysPro, Epicor, BlackLine, etc Our ERP projects cover the gamut of typical implementation but we also support bespoke projects and specialty staff…","Oracle, SAP, ERP",India,Onsite
Senior Data Engineer,"Aspire, Jordan","About the Role As a Senior Data Engineer at Aspire, you will design, build, and maintain scalable data pipelines to support production data workflows. You will implement end-to-end ETL/ELT pipelines, optimize data processing, and integrate pipelines with internal systems and cloud-based data warehouses. You will collaborate with cross-functional teams to ensure reliable, high-performance data solutions. What You'll Do Design and implement full ETL/ELT pipelines from data ingestion to transforma…","Scala, ETL, Data Pipeline, Data Warehouse",India,Onsite
Sharepoint Administrator,CBTS,"0365 IV Engineer Job Purpose The L4 SharePoint / Power Platform Engineer designs, administers, and governs enterprise Microsoft 365 collaboration and automation platforms. This role owns complex platform operations, governance, and project delivery across SharePoint Online and Power Platform, and serves as an escalation point and technical mentor for lower-tier engineers. The engineer operates with minimal supervision, contributes to architecture decisions, supports business-critical solutions,…",Scala,"Chennai, Tamil Nadu",Onsite
QA Data Engineer,Persistent Systems,"About Position: We are looking for an experienced Data Quality Engineer with a strong background in QA Automation, Python, PyTest, Azure Databricks, and ETL validation. The ideal candidate will be responsible for ensuring the quality, reliability, and performance of data pipelines and analytical solutions across our enterprise data platforms. Role: QA Data Engineer Location: Pune, Mumbai, Bangalore, Hyderabad, Delhi Experience: 6 to 12 Years Job Type: Full Time Employment What You'll Do: Design…","Python, ETL, Data Pipeline, Databricks, Azure, Pytest, QA",India,Onsite
Data Warehouse Specialist,Landmark Group,"We are hiring for Data Visualization Specialist for our team located at Bangalore About our group Landmark Group is one of the largest, most successful retail and hospitality conglomerate in the Middle East, Africa, and India. Founded in 1973, the Group encourages entrepreneurship which in turn has pioneered leading homegrown brands that are market leaders in their categories and are known to deliver exceptional value to customers. In the last four years, the Group has doubled its store count a…","Data Visualization, Data Warehouse",India,Onsite
IT Executive,Titan Email,"Roles and Responsibilities of an L2 IT Executive: Helpdesk Support · Serve as the first point of contact for employees or customers seeking technical assistance via phone, email, or ticketing systems. · Troubleshoot and resolve basic IT issues such as login problems, software malfunctions, and network connectivity issues. · Provide guidance and support for general IT-related questions, directing users to appropriate resources when necessary. Incident Management · Log and categorize support requ…",,"Mumbai, Maharashtra",Onsite
Python AI Engineer – RAG Pipelines & Autonomous Agents,CoreTek Labs,"Summary A client of Coretek Labs is immediately hiring for a Python AI Engineer – RAG Pipelines & Autonomous Agents Title: Python AI Engineer – RAG Pipelines & Autonomous Agents Position type: Full Time/ Contract Location: Hybrid/Remote Python AI Engineer – RAG Pipelines & Autonomous Agents, You will: Generative Agentic AI Engineering Build and optimize LLM driven autonomous agents, multi agent systems, and tool using workflows. Develop Model Context Protocol (MCP) servers and structured contex…","Python, LLM",India,Remote
Engineer II- Perf,lululemon India Tech Hub,"Engineer II Hiring Manager: Pavan Nandyala Current Location : India Future Location: India WDID (if you have that info already): N/A Preferred candidates: [Candidate Name] Batch ID: Standalone - ITH Role Count: 1 Who we are: lululemon is an innovative performance apparel company for yoga, running, training, and other athletic pursuits. Setting the bar in technical fabrics and functional design, we create transformational products and experiences that support people in moving, growing, connectin…",,Bengaluru,Onsite
Delivery Manager,eJAmerica,"Job Description Delivery Manager – IT Infrastructure Location: Mysore (Onsite) Shift: 4:30 PM – 2:30 AM (US Shift) Role Overview We are seeking an experienced Delivery Manager with 7–10 years in IT Infrastructure Management to lead service delivery, operations, and project execution. The role requires strong leadership, stakeholder management, and adherence to ITIL processes to ensure high-quality service delivery. Key Responsibilities Ensure delivery of infrastructure services (cloud, data cen…","ITIL, Leadership","Mysore, Karnataka",Onsite
Dell Boomi Developer,Tata Consultancy Services,"TCS is Hiring Dell Boomi Developer for Mumbai, Pune location Experience : 6 - 14 years Mode of interview : Virtual Location : Mumbai, Pune JOB DESCRIPTION: Must have: Should have Dell Boomi Professional Developer certification. Should have good understanding of Dell Boomi platform architecture and different types of runtime. Having very good hands-on experience in Boomi Integration process development, various Boomi connectors, Boomi APIs, advance features, shapes and components. Should have wo…",,India,Onsite
Machine Learning Engineer,UST,"Hiring: Machine Learning Engineer (MLOps) – Coimbatore | 3–5 Years Location: Coimbatore Experience: 3–5 Years We are seeking a highly motivated and detail-oriented Machine Learning Engineer (MLOps) to join our organization. The selected candidate will be responsible for building, deploying, and maintaining scalable machine learning pipelines and ensuring the reliability of production ML systems. Key Responsibilities: Design, develop, and manage end-to-end MLOps pipelines Deploy, monitor, and ma…","Scala, Machine Learning, MLOps","Coimbatore, Tamil Nadu",Onsite
Lead - Data Engineer,Godrej Capital,"Job Purpose The role incumbent will be responsible for independently managing and driving key technology projects relating to Data Management & Governance, business change requests and technology initiatives for key systems. Create Data Technology Road Map that enables solid enterprise data strategy. Incumbent shall be self-driven and will work independently with stakeholders across departments. The incumbent will also be owning technology innovations, performance improvements and compliance ac…",,"Mumbai, Maharashtra",Onsite
Arabic Technical Support Engineer,Expert Executive Recruiters,"Over 2,200 of the world’s leading organizations trust our client to help secure their most critical workloads across public cloud, private cloud, containers, and on-premises networks. Join our global team, securing application connectivity, anywhere. We are hiring a Technical Support Engineer for a leading support position based in India. Reporting to : Support Manager Location : Remote Direct Employment Responsibilities : Supporting our global customers via email, phone, and webcasts, guiding …","Rust, Technical Support",India,Remote
Lead Engineer,Evernorth Health Services,"Job Description Position Overview We're seeking a talented AI/ML Engineer to design, develop, and deploy cutting-edge AI and machine learning solutions. You'll work with state-of-the-art models and technologies, contributing to projects that have the potential to revolutionize industries. Roles & Responsibilities Design and implement AI/ML models using various frameworks and libraries Work with large language models (LLMs) from providers like OpenAI and Anthropic Develop and optimize RAG (Retri…","Machine Learning, OpenAI","Hyderabad, Telangana",Onsite
Training Manager,Urban Company,"About the Company Urban Company is a technology platform offering customers a wide range of home services. Customers use the platform to book services such as beauty treatments, haircuts, massage therapy, cleaning, plumbing, carpentry, appliance repair, painting, and more — all delivered at home at a time of their choosing. The company promises a high-quality, standardized, and reliable service experience. To fulfill this promise, it works closely with carefully selected service partners, enabl…",,"Coimbatore, Tamil Nadu",Onsite
Software Engineer 4 - Adobe-MarTech,Costco,"Software Engineer 4 - Adobe (MarTech) About Costco Wholesale: Costco Wholesale is a multi-billion-dollar global retailer with warehouse club operations in eleven countries. They provide a wide selection of quality merchandise, plus the convenience of specialty departments and exclusive member services, all designed to make shopping a pleasurable experience for our members. About Costco Wholesale India: At Costco Wholesale India, we foster a collaborative space, working to support Costco Wholesa…",,"Hyderabad, Telangana",Onsite
Databricks(5-10 Years)-Bangalore/Pune/Hyderabad/Chennai,Infosys,"Infosys Hirings for Databricks Developer Experience: 5-10 Years Location: PAN INDIA Education details: Btech/BE, Mtech/ME, Bsc/Msc, BCA/MCA Required Skills Databricks Azure Databricks AWS Databricks GCP Databricks Databricks Lakehouse Databricks Workspace Databricks Runtime","Databricks, AWS, Azure, GCP",Bengaluru,Onsite
SAP ABAP Fiori UI5 Consultant,CloudLabs Inc,"About CloudLabs: CloudLabs Inc was founded in 2014 with the mission to provide exceptional IT & Business consulting services at a competitive price, to help clients realize the best value from their investments. Within a short span, CloudLabs evolved from pure-play consulting into a transformative partner for Business Acceleration Advisory, Transformative Application Development & Managed Services - enabling digital transformations, M&A transitions, Automation & Process-driven optimizations & c…",SAP,India,Onsite
Vulnerability Management,Tata Consultancy Services,"Greetings From TCS Position : Vulnerability Management Experience : 6 years Location : In Person Interviews on 18th April at below location Chennai TCS Ozone Techno Park No. 1/13, Old Mahabalipuram Road (OMR), Navallur, Chennai - 603103 Hyderabad TCS Deccan Park, Plot No.1, Hitech City Main Rd, Software Units Layout, HUDA Techno Enclave, Madhapur, Hyderabad, Telangana 500081 Job Description : Monitor & Administer Rapid7 Insight VM, CrowdStrike Spotlight dashboards and daily scan status. • Perfo…",,"Hyderabad, Telangana",Onsite
AWS Data Engineer,Tata Consultancy Services,"Role - AWS Data Engineer Required Technical Skill Set - AWS Pyspark/ Python/Hive Primary AWS Glue, Lambda, Athena-Secondary Experience - 4 TO 8 YRS Good hands-on experience in Python programming and Pyspark/Scala Data Engineering experience using AWS core services (Lambda, Glue, EMR, S3 and RedShift) Good knowledge on any of the ETL tools and SQLs","Python, Scala, ETL, Redshift, Hive, AWS","Kolkata, West Bengal",Onsite
SAP FICO CONSULTANT,Tata Consultancy Services,"Greetings from TCS TCS presents an excellent opportunity for SAP FICO Consultant Experience (Yrs) : 6 -18 Years Location of Requirement - Hyderabad, Bangalore, NOIDA, GURGAON,PUNE Desired Competencies - 1. Experience on SAP implementation projects, Excellent understanding of SAP FICO, SAP FICA , Preparation of business blueprint, Design, built, testing and cutover activities. 2. Experience in configuring FICA Posting area , Reconciliation keys. 3. Excellent understanding of FI/MM integration i…","Excel, SAP, Excel",India,Onsite
Lead Python Backend Developer,Egen,"Job Summary As a Technical Lead , you will serve as the architectural backbone and technical visionary for our backend engineering team. This role is designed for a high-impact individual who balances deep hands-on expertise in Python and GCP with the leadership skills necessary to guide a team through complex technical challenges. You will not only write mission-critical code but also define the technical roadmap, ensure system scalability, and serve as the primary technical point of contact f…","Python, Scala, GCP, Leadership","Hyderabad, Telangana",Onsite
Resource Planning Manager,TELUS Digital,"Job Title: Tactical Resource Planning Analyst (Manager/Sr. Manager) Location: Noida/Ahmedabad Shift timings: evening shifts Role Summary Responsible for tactical workforce planning—translating demand, backlog, and constraints into weekly capacity plans, partner guidance, and execution strategies to meet customer commitments while controlling costs. Key Responsibilities Manage due dates and capacity in planning systems; adjust weekly/in-month based on demand trends Build and hand off weekly reso…",,"Noida, Ghaziabad",Onsite
Senior Product Manager (CarTrade Tech Mumbai),OLX India,"The Product Manager will play a pivotal role in shaping and executing strategic initiatives and product innovations and development within the CarTrade Infotech. This position requires an entrepreneurial mindset, a passion for emerging technologies, and the ability to drive ideas from conception to implementation by working together with various stakeholders including engineering, marketing, sales and external customers. The role will rely deeply on leveraging Artificial Intelligence (AI) and G…",,"Mumbai, Maharashtra",Onsite
Omnissa Horizon L4 Engineer - Team Lead,NASTECH CONSULTING,"Job Title: Omnissa Horizon L4 Engineer - Team Lead (PST Shift) Location: Remote (PST Time Zone) Shift Timings: 9:00 AM - 6:00 PM PST (Monday to Friday), ( 9:30 PM – 6:30 AM (IST) with flexibility for on-call escalations. About the Role: We are seeking an experienced Omnissa Horizon L4 Engineer to lead a high-performing team delivering critical VDI and digital workspace projects. In this leadership role, you will mentor engineers, manage project delivery, handle technical and process escalations…","Scala, Leadership",India,Remote
Senior Business Analyst,CIBC India,"What Youll Be Doing (position summary): Acts as a liaison between business and technology teams, ensuring requirements for Intellect IDAL Liquidity Management, Cash Management, and Payments are gathered, analyzed, and delivered. Leads solution design, data analysis, and stakeholder management for enterprise data initiatives. Supports the delivery of robust solutions that meet business needs and regulatory requirements. At CIBC India we enable the work environment most optimal for you to thrive …",Data Analysis,"Hyderabad, Telangana",Onsite
Senior Back End Developer,AB InBev GCC India,"AB InBev GCC was incorporated in 2014 as a strategic partner for Anheuser-Busch InBev. The center leverages the power of data and analytics to drive growth for critical business functions such as operations, finance, people, and technology. The teams are transforming Operations through Tech and Analytics. Do You Dream Big? We Need You. Job Title: Senior Backend Engineer Location: Bangalore Reporting to: Senior Manager Analytics 1.Purpose of the role We are seeking a highly skilled and experienc…",,Bengaluru,Onsite
Credit Risk Policy Manager - Powai,Hiranandani Financial Services,"Key Responsibilities: Assist in analysis of credit data, cases, policy deviations, and approval trends through Advance Excel and data modelling analysis. Support portfolio monitoring (DPD movement, early delinquency trends, vintage analysis). Conduct detailed analysis of credit reports, trends, delinquency patterns, and portfolio behaviour. Identify gaps, risks, and improvement areas in underwriting quality and credit decisions. Prepare MIS dashboards and actionable insights for senior manageme…","Excel, Excel","Mumbai, Maharashtra",Onsite
Data Migration Developer II,ADM,"Data Migration Developer II Key Responsibilities: Technical Development: Design, develop, test, and deploy ETL jobs using SAP Data Services (BODS) to extract, transform, and load data from multiple legacy systems into SAP S/4HANA. Develop data migration jobs using IDocs, BAPIs, LSMW, LTMC, and Migration Cockpit methodologies. Analyze source data structures, dependencies, and mappings to design effective migration strategies and transformation logic. Build and execute complex scripts, queries, a…","ETL, SAP",Bengaluru,Onsite
Senior Engineering Manager [T500-24551],Marriott Tech Accelerator,"About Marriott: Marriott Tech Accelerator is part of Marriott International, a global leader in hospitality. Marriott International, Inc. is a leading American multinational company that operates a vast array of lodging brands, including hotels and residential properties. It consists of over 30 well-known brands and nearly 8,900 properties situated in 141 countries and territories. Role Title: Senior Engineering Manager Position Summary: Own the architecture, build, and reliable operation of a …",,"Hyderabad, Telangana",Onsite
Senior Agentic AI Engineer (LLMs),Winpra,"Winpra is revolutionizing the real estate industry through advanced AI-powered analytics. We're building cutting-edge solutions that combine Large Language Models (LLMs) with real estate expertise to deliver unprecedented insights and automation capabilities. Position Overview We're seeking an Agentic AI Engineer to join our innovative team and help shape the future of real estate analytics through advanced AI systems. In this role, you'll work on developing sophisticated LLM-based solutions th…",LLM,Bengaluru,Onsite
D365 FO Functional Finance Consultant (EST Shift),Hitachi Solutions India Pvt Ltd,"Experience : 6 -9years Shift: EST Shift (5:30PM -2:30AM) Requirement: Minimum of 6years of demonstrated work experience in Dynamics 365 F&O Experience of developing customized solutions to complex business problems Strong working knowledge of business processes Relevant Microsoft certification Provide guidance to implementation team on various strategic areas such as ALM, Environment strategy, Integration strategy, Data Migration strategy, Security Strategy etc. Knowledge of emerging Microsoft …",,"Hyderabad, Telangana",Onsite
DataOps / DRE Lead,Hire Rightt - Executive Search & HR Advisory,"DataOps / DRE Lead Location: Bangalore / Hyderabad / Pune (Hybrid) Experience: 5 Years Role Overview: We are looking for an experienced DataOps / DRE Lead to drive reliability, performance, and operational excellence across enterprise data platforms. This role involves managing data pipelines, ensuring production stability, and enabling continuous improvement across the data ecosystem. Key Responsibilities: • Manage and optimize end-to-end data pipelines & data warehouse operations • Ensure hig…","Data Pipeline, Data Warehouse, Excel, Excel",India,Hybrid
Senior Associate - Lead IAM Engineer,Deutsche Börse Group,"About Deutsche Börse Group: Headquartered in Frankfurt, Germany, Deutsche Börse Group is a leading international exchange organization and market infrastructure provider. They empower investors, financial institutions, and companies by facilitating access to global capital markets. Their India center is located in Hyderabad, serves as a key strategic hub and comprises Indias top-tier tech talent. They focus on crafting advanced IT solutions that elevate market infrastructure and services. Deuts…",,"Hyderabad, Telangana",Onsite
Head of Sales Operations,Curefit,"About the role: In this role, you’ll take full ownership of business and experience delivery for House of Curefit brands in your city. You’ll set operational policies, manage budgets, and lead your team while focusing on strategic goals like scale, market share, profitability, and customer experience. Your ability to understand the local market, drive data-driven decisions, and inspire your team will be crucial for success. Roles & Responsibilities: ● The role is responsible for end to end owne…",,"Mumbai, Maharashtra",Onsite
Remote Python Engineer,Turing,"About the projects: we are building LLM evaluation and training datasets to train LLM to work on realistic software engineering problems. One of our approaches, in this project, is to build verifiable SWE tasks based on public repository histories in a synthetic approach with human-in-the-loop; while expanding the dataset coverage to different types of tasks in terms of programming language, difficulty level, and etc. About the Role: We are looking for experienced software engineers (tech lead …","Python, LLM","Chennai, Tamil Nadu",Remote
VisionPlus Tester,Synechron,"We have immediate opportunity for VisionPLUS Tester Job Role: VisionPLUS Tester Job Location: Chennai/ Bangalore/ Hyderabad/ Pune/ Mumbai/ Delhi NCR Experience- 4Years About Company: At Synechron, we believe in the power of digital to transform businesses for the better. Our global consulting firm combines creativity and innovative technology to deliver industry-leading digital solutions. Synechron’s progressive technologies and optimization strategies span end-to-end Artificial Intelligence, C…",,India,Onsite
GCP Looker,Tata Consultancy Services,"TCS Hiring GCP Looker 28TH March Virtual drive Candidates with less experience with less than 4 years of experience need not apply Must have : Senior Data Engineer (AWS) Experience only 4 -8 Yrs Please read Job description before Applying NOTE: If the skills/profile matches and interested, please reply to this email by attaching your latest updated CV and with below few details: Name: Contact Number: Email ID: Highest Qualification in: (Eg. B.Tech/B.E./M.Tech/MCA/M.Sc./MS/BCA/B.Sc./Etc.) Curre…","Looker, AWS, GCP","Chennai, Tamil Nadu",Onsite
Java Developer,Egen,"Egen is a fast-growing and entrepreneurial company with a data-first mindset. We bring together the best engineering talent working with the most advanced technology platforms, including Google Cloud and Salesforce, to help clients drive action and impact through data and insights. We are committed to being a place where the best people choose to work so they can apply their engineering and technology expertise to envision what is next for how data and platforms can change the world for the bet…","Java, Google Cloud, Salesforce","Hyderabad, Telangana",Onsite
Telecommunications Software Engineer,Xtel,"Company Description XTel is a next-generation telecommunications company delivering cloud-based communication solutions for modern businesses. Our platform enables companies to manage virtual phone systems seamlessly across mobile and web environments, eliminating the need for traditional hardware. Powered by advanced technologies including Twilio APIs, real-time webhooks, and scalable cloud infrastructure , XTel provides intelligent communication features such as call forwarding, voicemail-to-…","Scala, Communication",India,Onsite
IT Support (3 years),DBiz.ai,"Analyst – IT Infrastructure - 3years - Kochi Job Summary: We are seeking a highly skilled Analyst – IT Infrastructure to join our IT & Systems team at DBiz AI Solutions Pvt. Ltd. The ideal candidate will manage and support End-User Computing devices, Office 365 administration (including Intune and Entra ID), network and firewall maintenance, IT asset management, and compliance-related documentation. The role involves troubleshooting, ensuring system security, maintaining SOC/ISO-related documen…",,"Kochi, Ernakulam",Onsite
Network Architect,Tata Consultancy Services,"• Firewall Management – Hosted in Azure cloud. (CISCO ASA, Juniper and Azure Firewall) • Switch and Router management. • Provision and Manage – VNET, Subnet, NSGs, Routes, Express Route, IPSEC tunnel. • Manage and Monitor Azure log Analytics • L2/L3 cloud network administration and troubleshooting. • FW/zScaler access definition based on ATD/SIEM requests. • VA remediation and reporting based on security reporting • Managing the IP segment & IP assignment for Cloud resources. • Handling network…",Azure,Bengaluru,Onsite
DevOps Engineer - Gen AI / LLM [T500-25015],Talent500,"About Infinite Electronics: Infinite Electronics is a global manufacturer of high-performance connectivity solutions, serving customers across a wide range of industries. With deep engineering expertise and a focus on precision-built components and assemblies, the company partners closely with customers to address complex, real-world challenges and accelerate product innovation. About Infinite India (GCC): Infinite is establishing its India Global Capability Center (GCC) in Pune to expand its e…",LLM,India,Onsite
Business Consultant - Big Data Platform Services,CIBC India,"What Youll Be Doing (position summary): As a member of CIBCs Big Data Platform Services (BDPS) Team, the Business Consultant acts as a liaison between business/other CIBC technology teams and the Big Data Delivery team (Enterprise Data Hub (EDH) & Enterprise Data Gateway (EDGE)), ensuring alignment of both functional and non-functional requirements. The roleleadsrequirement gathering sessions, providesexpertiseto project managers, updates leadership on status, and coordinates with peer technolo…",Leadership,"Hyderabad, Telangana",Onsite
Graphic Designer (PPT Specialist),Terra Technology Circle Consulting Private Limited,"Graphic Designer/ Creative Designer (PPT Specialist) We are seeking a highly creative and detail-oriented Graphic Designer to create high-impact business presentations and visual assets. This role offers an opportunity to collaborate with cross-functional teams, including project teams, practice areas, and IT, while leveraging AI-powered tools and modern design practices to deliver compelling visual storytelling. Location: Gurgaon/Noida (On-site) Experience: 4–8Years Employment Type: Full-Time …",,"Delhi, India",Onsite
Technical Lead - Support | Integration Solutions | Remote | ANSI X12 | EDIFACT,CareerXperts Consulting,"We’re looking for a Tech Lead – Support to manage critical EDI integrations and drive production support for global customers If you excel at troubleshooting, incident management, and leading support teams , this role is for you. Key Responsibilities: • Drive resolution of Sev-1 & Sev-2 incidents • Troubleshoot complex production issues & provide permanent fixes • Manage ticket prioritization & team coordination • Handle reprocessing during major incidents • Work on EDI maps & AS2/SFTP integrat…","Excel, Excel",India,Remote
Data Engineer,IntraEdge,"Job Title: Data Engineer Experience: 7 Years Location: Pune Employment Type: Full-Time About the Role We are looking for a highly skilled Data Engineer with strong experience in building scalable data pipelines, cloud-based data solutions, and end-to-end application delivery. The ideal candidate will be a hands-on technologist with expertise in data engineering, cloud platforms (GCP preferred), CI/CD pipelines, and observability practices . You will work closely with engineering teams, product …","Scala, Data Pipeline, GCP, CI/CD",India,Onsite
Senior MLOps Engineer-(Gen AILLMAWS),Spectral Consultants,"Spectral Consultants is hiring for a Senior MLOps Engineer (GenAI / LLM) with one of the leading US Product based organization. Location:- Noida Work Mode:- Remote Experience :- 5-10years The candidate is responsible to build and scale production-ready ML & GenAI (LLM) systems on AWS, enabling seamless deployment, monitoring, and optimization of AI models. Key Responsibilities: Design, build, and scale ML/AI platforms on AWS, leveraging services such as SageMaker, Bedrock, S3, Lambda, ECS/EKS. …","LLM, MLOps, AWS","Noida, Ghaziabad",Remote
Data Governance Consultant,Tata Consultancy Services,"Role- Data Governance Consultant Desired Experience Range - 15 years (with at least 5 years in consulting/advisory/practice/pre-sales in data management/data governance) Location-Chennai/Bangalore/Hyderabad/Mumbai/ Pune Desired Competencies (Technical/Behavioral Competency) Demonstrated thought leadership in Data Governance and Data Management BFSI domain knowledge Strong articulation, strategic thinking, leadership traits, business acumen, customer focus, and team player attitude Experience wi…",Leadership,"Chennai, Tamil Nadu",Onsite
Remote Data Engineer - 60713,Turing,"About Turing: Based in San Francisco, California, Turing is the world’s leading research accelerator for frontier AI labs and a trusted partner for global enterprises deploying advanced AI systems. Turing supports customers in two ways: first, by accelerating frontier research with high-quality data, advanced training pipelines, plus top AI researchers who specialize in coding, reasoning, STEM, multilinguality, multimodality, and agents; and second, by applying that expertise to help enterprise…",Rust,"Kolkata, West Bengal",Remote
SAP BTP Integration Consultant,Tata Consultancy Services,"Date Of Virtual Interview : 31-Mar-26 Job Title : SAP BTP Integration Consultant Experience : 5 to 12 Years Location : Bengaluru Must Have Skills : 5–12 years of experience in SAP BTP Integration Suite / SAP CPI. Strong knowledge of: SAP Cloud Integration (iFlows, Groovy scripts, XML/JSON mappings) SAP API Management (policies, API design, security) SAP BTP services (Cloud Connector, Destination service, Event Mesh) Hands-on experience with integration patterns , security concepts (OAuth, Certi…",SAP,Bengaluru,Onsite
Analyst .Net Developer,MUFG Global Service,"About Us: Mitsubishi UFJ Financial Group, Inc. (MUFG) is one of the worlds leading financial groups. Headquartered in Tokyo and with over 360 years of history, MUFG has a global network with over 2,100 locations in more than 50 markets. The Group has over 160,000 employees and offers services including commercial banking, trust banking, securities, credit cards, consumer finance, asset management, and leasing. The Group aims to be the worlds most trusted financial group through close collaborat…",Rust,Bengaluru,Onsite
Sap Security,LTM,"ob description Roles and Responsibilities Provide expertise on SAP security best practices, including access control, authorization concepts, and user administration. Conduct risk assessments to identify potential vulnerabilities and develop mitigation strategies. Design, implement, and maintain GRC solutions using SAP Governance Risk & Compliance (SAP GRC) tools such as ARM, BI, BRM, IAS, IDM, PAM, PC, PM, RAR, RSA Architectural roles. Collaborate with cross-functional teams to ensure seamless…",SAP,"Indore, Madhya Pradesh",Onsite
